time;sensor1;sensor2
2019-01-13 01:16:32;19.81;20.12
2019-01-13 01:26:32;19.12;-5.50
2019-01-13 01:36:33;19.12;-5.56
2019-01-13 01:46:33;19.06;-5.69
2019-01-13 01:56:34;19.12;-5.62
2019-01-13 02:06:34;19.12;-5.50
2019-01-13 02:16:35;19.00;-5.69
2019-01-13 02:26:35;19.06;-5.88
2019-01-13 02:36:36;19.06;-5.88
2019-01-13 02:46:36;19.00;-6.06
2019-01-13 02:56:37;19.00;-6.00
2019-01-13 03:06:37;19.06;-6.00
2019-01-13 03:16:38;19.06;-6.19
2019-01-13 03:26:38;18.94;-6.19
2019-01-13 03:36:39;19.00;-6.31
2019-01-13 03:46:39;19.00;-6.12
2019-01-13 03:56:40;18.94;-6.12
2019-01-13 04:06:40;18.94;-5.88
2019-01-13 04:16:41;18.94;-5.81
2019-01-13 04:26:41;18.88;-5.81
2019-01-13 04:36:42;18.94;-5.88
2019-01-13 04:46:42;19.00;-5.94
2019-01-13 04:56:43;18.88;-5.94
2019-01-13 05:06:43;18.94;-5.94
2019-01-13 05:16:44;18.81;-5.94
2019-01-13 05:26:44;18.88;-5.94
2019-01-13 05:36:45;18.88;-5.81
2019-01-13 05:46:45;18.81;-5.75
2019-01-13 05:56:46;18.88;-5.56
2019-01-13 06:06:46;18.88;-5.56
2019-01-13 06:16:47;18.94;-5.31
2019-01-13 06:26:47;19.12;-5.12
2019-01-13 06:36:48;18.94;-5.06
2019-01-13 06:46:48;18.94;-4.94
2019-01-13 06:56:49;18.94;-4.88
2019-01-13 07:06:49;18.94;-4.94
2019-01-13 07:16:50;18.88;-4.94
2019-01-13 07:26:50;19.00;-4.94
2019-01-13 07:36:51;18.94;-5.00
2019-01-13 07:46:51;18.81;-5.00
2019-01-13 07:56:52;18.75;-4.88
2019-01-13 08:06:52;18.62;-4.75
2019-01-13 08:16:53;18.81;-4.50
2019-01-13 08:26:53;18.69;-4.81
2019-01-13 08:36:54;18.69;-4.88
2019-01-13 08:46:54;18.69;-3.94
2019-01-13 08:56:55;18.81;-4.12
2019-01-13 09:06:55;18.81;-3.94
2019-01-13 09:16:56;18.88;-2.00
2019-01-13 09:26:56;18.81;-3.50
2019-01-13 09:36:57;18.81;-3.62
2019-01-13 09:46:57;18.69;-3.69
2019-01-13 09:56:58;18.69;-3.62
2019-01-13 10:06:58;18.69;-3.50
2019-01-13 10:16:59;18.69;-3.44
2019-01-13 10:26:59;18.56;-3.38
2019-01-13 10:37:00;18.62;-3.19
2019-01-13 10:47:00;18.56;-3.06
2019-01-13 10:57:01;18.62;-2.81
2019-01-13 11:07:01;18.69;-2.62
2019-01-13 11:17:02;18.69;-2.50
2019-01-13 11:27:02;18.75;-2.06
2019-01-13 11:37:03;18.69;-2.19
2019-01-13 11:47:03;18.75;-1.56
2019-01-13 11:57:04;18.75;-1.81
2019-01-13 12:07:04;18.75;-2.00
2019-01-13 12:17:05;18.88;-1.56
2019-01-13 12:27:05;18.81;-1.69
2019-01-13 12:37:06;18.88;-1.69
2019-01-13 12:47:06;18.88;-1.62
2019-01-13 12:57:07;18.69;-1.69
2019-01-13 13:07:07;18.69;-1.69
2019-01-13 13:17:08;18.75;-1.69
2019-01-13 13:27:08;18.94;-1.50
2019-01-13 13:37:09;18.94;-1.38
2019-01-13 13:47:09;18.94;-1.38
2019-01-13 13:57:10;18.94;-0.88
2019-01-13 14:07:10;18.94;-1.44
2019-01-13 14:17:11;19.00;-1.44
2019-01-13 14:27:11;19.00;-1.44
2019-01-13 14:37:12;19.06;-1.38
2019-01-13 14:47:12;18.94;-1.56
2019-01-13 14:57:13;19.00;-1.56
2019-01-13 15:07:13;19.00;-1.56
2019-01-13 15:17:14;18.94;-1.69
2019-01-13 15:27:14;18.94;-1.69
2019-01-13 15:37:15;18.94;-1.69
2019-01-13 15:47:15;18.94;-1.75
2019-01-13 15:57:16;18.88;-1.69
2019-01-13 16:07:16;18.94;-1.62
2019-01-13 16:17:17;19.06;-0.75
2019-01-13 16:27:17;19.00;-1.62
2019-01-13 16:37:18;19.06;-1.62
2019-01-13 16:47:18;19.06;-1.56
2019-01-13 16:57:19;19.12;-1.56
2019-01-13 17:07:19;19.12;-1.62
