time,sensor1,sensor2
2022-12-15 23:24:53,2.00,0.81
2022-12-15 23:34:54,1.94,0.81
2022-12-15 23:44:54,1.88,0.75
2022-12-15 23:54:55,1.81,0.75
2022-12-16 00:04:55,1.81,0.69
2022-12-16 00:14:56,1.75,0.69
2022-12-16 00:24:56,1.69,0.62
2022-12-16 00:34:57,1.69,0.62
2022-12-16 00:44:57,1.62,0.56
2022-12-16 00:54:58,1.56,0.56
2022-12-16 01:04:58,1.50,0.56
2022-12-16 01:14:59,1.50,0.50
2022-12-16 01:24:59,1.44,0.50
2022-12-16 01:35:00,1.38,0.44
2022-12-16 01:45:00,1.31,0.38
2022-12-16 01:55:01,1.25,0.38
2022-12-16 02:05:01,1.19,0.38
2022-12-16 02:15:02,1.19,0.31
2022-12-16 02:25:02,1.12,0.31
2022-12-16 02:35:03,1.06,0.25
2022-12-16 02:45:03,1.06,0.25
2022-12-16 02:55:04,1.00,0.19
2022-12-16 03:05:04,1.00,0.19
2022-12-16 03:15:05,0.94,0.12
2022-12-16 03:25:05,0.94,0.12
2022-12-16 03:35:06,0.88,0.12
2022-12-16 03:45:06,0.88,0.06
2022-12-16 03:55:07,0.81,0.06
2022-12-16 04:05:07,0.81,0.00
2022-12-16 04:15:08,0.75,0.00
2022-12-16 04:25:08,0.75,-0.06
2022-12-16 04:35:09,0.69,-0.06
2022-12-16 04:45:09,0.62,-0.12
2022-12-16 04:55:10,0.62,-0.12
2022-12-16 05:05:10,0.62,-0.19
2022-12-16 05:15:11,0.56,-0.19
2022-12-16 05:25:11,0.56,-0.25
2022-12-16 05:35:12,0.56,-0.25
2022-12-16 05:45:12,0.50,-0.25
2022-12-16 05:55:13,0.50,-0.31
2022-12-16 06:05:13,0.44,-0.31
2022-12-16 06:15:14,0.44,-0.38
2022-12-16 06:25:14,0.44,-0.38
2022-12-16 06:35:15,0.38,-0.44
2022-12-16 06:45:15,0.38,-0.44
2022-12-16 06:55:16,0.31,-0.44
2022-12-16 07:05:16,0.31,-0.50
2022-12-16 07:15:17,0.25,-0.50
2022-12-16 07:25:17,0.25,-0.56
2022-12-16 07:35:18,0.19,-0.56
2022-12-16 07:45:18,0.19,-0.56
2022-12-16 07:55:19,0.12,-0.62
2022-12-16 08:05:19,0.12,-0.62
2022-12-16 08:15:20,0.12,-0.69
2022-12-16 08:25:20,0.06,-0.69
2022-12-16 08:35:21,0.06,-0.75
2022-12-16 08:45:21,0.00,-0.75
2022-12-16 08:55:22,0.00,-0.75
2022-12-16 09:05:22,0.00,-0.81
2022-12-16 09:15:23,-0.06,-0.81
2022-12-16 09:25:23,-0.06,-0.81
2022-12-16 09:35:24,-0.12,-0.88
2022-12-16 09:45:24,-0.12,-0.88
2022-12-16 09:55:25,-0.19,-0.88
2022-12-16 10:05:25,-0.19,-0.94
2022-12-16 10:15:26,-0.19,-0.94
2022-12-16 10:25:26,-0.25,-0.94
2022-12-16 10:35:27,-0.25,-0.94
2022-12-16 10:45:27,-0.31,-0.94
2022-12-16 10:55:28,-0.38,-0.94
2022-12-16 11:05:28,-0.38,-0.94
2022-12-16 11:15:29,-0.38,-1.00
2022-12-16 11:25:29,-0.38,-1.00
2022-12-16 11:35:30,-0.44,-1.00
2022-12-16 11:45:30,0.19,0.00
2022-12-16 11:55:31,0.44,0.56
2022-12-16 12:05:31,0.69,0.94
2022-12-16 12:15:32,1.38,1.25
2022-12-16 12:25:32,1.69,1.50
2022-12-16 12:35:33,2.06,1.75
2022-12-16 12:45:33,2.31,2.00
2022-12-16 12:55:34,2.44,2.19
2022-12-16 13:05:34,2.56,2.38
2022-12-16 13:15:35,2.75,2.50
2022-12-16 13:25:35,2.81,2.69
2022-12-16 13:35:36,3.00,2.88
2022-12-16 13:45:36,3.12,3.00
2022-12-16 13:55:37,3.25,3.12
2022-12-16 14:05:37,3.38,3.25
2022-12-16 14:15:38,3.44,3.38
2022-12-16 14:25:38,3.62,3.44
2022-12-16 14:35:39,3.62,3.56
2022-12-16 14:45:39,2.25,2.62
2022-12-16 14:55:40,3.56,3.50
2022-12-16 15:05:40,3.56,3.56
2022-12-16 15:15:41,3.69,3.69
2022-12-16 15:25:41,1.12,2.00
2022-12-16 15:35:42,3.31,3.50
2022-12-16 15:45:42,4.06,3.88
2022-12-16 15:55:43,2.94,3.12
